ES.ID,Study,Year,Category,Sub_category,Response,same_trt,experiment,Ctrl-shared_YN,Shared-Control,LaterDiet,TrtFood,TrtResponse,TrtSE,TrtSD,CtrlFood,CtrlResponse,CtrlSE,CtrlSD,nTrt,nCtrl,Species,Sp_group,age_treated,sex,Trt_magnitude,Trt_duration,Recovery,LoH
42,Boggs & Freeman 2005,2005,Longevity,longevity,Adult lifespan (females),q,m,N,NA,ad lib honey water,semi-starved,10.5,,4.3,ad lib,15.3,,5.3,14,15,Speyeria.mormonia,Insect,juvenile,Female,0.5,NA,NA,higher
43,Boggs & Freeman 2005,2005,Reproduction,egg_offspring_quantity,Ma. Realized fecundity,q,m,N,NA,ad lib honey water,semi-starved,104.5,,79.9,ad lib,212.3,,94.4,2,2,Speyeria.mormonia,Insect,juvenile,Male,0.5,NA,NA,higher
44,Boggs & Freeman 2005,2005,Reproduction,egg_offspring_quantity,Fm. potential fecundity (mated: realized fecundity + remaining oocytes),q,m,N,NA,ad lib honey water,semi-starved,236.6,,69.9,ad lib,352.3,,62.4,17,19,Speyeria.mormonia,Insect,juvenile,Female,0.5,NA,NA,higher
45,Brust_et_al_2014,2014,Learning,learning,trials needed for initial learning,b,n,N,NA,,LQT,6,1.7,7.009279564,HQT,11.4,4.1,11.59655121,17,8,Taeniopygia.guttata,Bird,youngest,Mixed,NA,1,0.980169972,lower
46,Brust_et_al_2014,2014,Learning,learning,trials needed for reversal learning,b,n,N,NA,,LQT,17.92284615,1.928915136,6.954802428,HQT,18.758,1.434769668,2.869539336,13,4,Taeniopygia.guttata,Bird,youngest,Mixed,NA,1,0.980169972,lower
47,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quality,larval hatching mass (mg),nn,p,N,NA,NAA,low-quality,0.163,0.005,0.018027756,high-quality,0.159,0.004,0.016,13,16,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.403508772,higher
48,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quality,larval hatching mass (mg),c,o,N,NA,AA,low-quality,0.185,0.006,0.019899749,high-quality,0.178,0.005,0.018027756,11,13,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.413793103,higher
49,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quality,egg hatching success,nn,p,N,NA,NAA,low-quality,0.87,0.02,0.072111026,high-quality,0.82,0.05,0.2,13,16,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.403508772,higher
50,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quality,egg hatching success,c,o,N,NA,AA,low-quality,0.85,0.04,0.132664992,high-quality,0.88,0.03,0.108166538,11,13,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.413793103,higher
51,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quality,Egg duration (day),c,o,N,NA,AA,low-quality,7.82,0.12,0.397994975,high-quality,7.62,0.08,0.288444102,11,13,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.413793103,lower
52,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quality,Egg duration (day),nn,p,N,NA,NAA,low-quality,7.74,0.06,0.216333077,high-quality,7.77,0.06,0.24,13,16,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.403508772,lower
53,Cahenzli & Erhardt 2012a,2012,Longevity,longevity,fm. Longevity (day),nn,p,N,NA,NAA,low-quality,22.77,11.04,39.80528608,high-quality,24.07,11.27,45.08,13,16,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.403508772,higher
54,Cahenzli & Erhardt 2012a,2012,Longevity,longevity,fm. Longevity (day),c,o,N,NA,AA,low-quality,24.18,10.34,34.29390033,high-quality,26.46,10.56,38.07462147,11,13,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.413793103,higher
55,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quantity,total # eggs laid,c,o,N,NA,AA,low-quality,98.64,8.06,26.73199581,high-quality,121.15,7.37,26.5729129,11,13,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.413793103,higher
56,Cahenzli & Erhardt 2012a,2012,Reproduction,egg_offspring_quantity,total # eggs laid,nn,p,N,NA,NAA,low-quality,84.15,4.71,16.98214651,high-quality,132.75,5.73,22.92,13,16,Coenonympha.pamphilus,Insect,youngest,Female,NA,1,0.403508772,higher
57,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quality,Larval hatching mass (mg),ll,q,N,NA,NAA+nectar,Low,0.182,0.016,0.075046652,High,0.18,0.023,0.100254676,22,19,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,higher
58,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quality,Larval hatching mass (mg),r,r,N,NA,AA+nectar,Low,0.193,0.019,0.078339007,High,0.187,0.023,0.08605812,17,14,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,higher
59,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quality,Egg hatching success,r,r,N,NA,AA+nectar,Low,0.9,0.18,0.742159013,High,0.86,0.17,0.636081756,17,14,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,higher
60,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quality,Egg hatching success,ll,q,N,NA,NAA+nectar,Low,0.92,0.06,0.281424946,High,0.9,0.13,0.566656863,22,19,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,higher
61,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quality,Egg duration (days),r,r,N,NA,AA+nectar,Low,6.06,0.29,1.195700631,High,6.26,0.33,1.234746938,17,14,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,lower
62,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quality,Egg duration (days),ll,q,N,NA,NAA+nectar,Low,5.99,0.32,1.500933043,High,6.27,0.41,1.787148567,22,19,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,lower
63,Cahenzli & Erhardt 2013,2013,Longevity,longevity,Longevity (days),r,r,N,NA,AA+nectar,Low,18.79,13.53,55.78561911,High,18.33,9.77,36.55599267,17,14,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.33374778,higher
64,Cahenzli & Erhardt 2013,2013,Longevity,longevity,Longevity (days),ll,q,N,NA,NAA+nectar,Low,18.73,10.46,49.06174885,High,23.23,15.05,65.6014291,22,19,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.333036984,higher
65,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quantity,Egg number,ll,q,N,NA,NAA+nectar,Low,74.05,34.82,163.3202768,High,73.42,24.33,106.0520113,22,19,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,higher
66,Cahenzli & Erhardt 2013,2013,Reproduction,egg_offspring_quantity,Egg number,r,r,N,NA,AA+nectar,Low,57.53,36.72,151.4004386,High,74.36,23.44,87.70444915,17,14,Coenonympha.pamphilus,Insect,youngest,Male,NA,1,0.137899333,higher
67,Capellan & Nicieza 2007,2007,Condition,development_rate,Time to metamorphosis (d),t,s,N,NA,ad libitum,Low-ration,58.034,0.843,2.230368355,High-ration,55.056,1.517,4.013604739,7,7,Rana.temporaria,Amphibian,juvenile,Mixed,0.2,0.363636364,0.603174603,lower
