"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
0.4,"indep",12,28,-1.94424625400898,-1.18821004788812,-1.50384311532993,0.756036206120855,0.440403138679045,4.44469865411377,0.352257032038163,224.887728192757,-74.2515756894162,1.03264618968393,1.24033852709347,0.706896551724138,0.551724137931034,724482,580000,0.0931672150851437,0.15358206773716,0.917039199312881,0.0117190043978887,0.0597687810455138,0.0653009760653792,0.42,0.42,0.724482
0.5,"indep",12,28,-1.36303435330244,-1.05548761697074,-1.29449121155999,0.307546736331705,0.0685431417424542,3.5303327327103,0.342492610857134,260.428276699947,-65.0333181430942,0.707029180068806,0.985178647643125,0.805555555555556,0.736111111111111,907008,720000,0.0755547806524739,0.116635872860435,0.68995236467343,0.0115019131380398,0.0466422261102081,0.0519416797970298,0.28,0.28,0.907008
0.6,"indep",12,28,-1.058151567492,-0.975575326812454,-1.15653351123856,0.0825762406795429,-0.0983819437465587,2.69314434146982,0.332922652619949,202.831839135138,-62.5643610592278,0.601982472056241,0.942275215501903,0.9,0.8125,1021335,8e+05,0.0670880831480767,0.105434818480533,0.596033567589737,0.00951857921860493,0.0335410196624968,0.0436382501367779,0.2,0.2,1.021335
0.7,"indep",12,28,-0.842414379200356,-0.748299411844496,-0.834308470749487,0.0941149673558599,0.00810590845086867,1.38171524328288,0.289169710630978,141.499555764929,-49.4582136242983,0.543492075025902,0.75203243687152,0.883720930232558,0.825581395348837,1137295,860000,0.0580594024949059,0.0815646319224716,0.365371352136401,0.0114188040803627,0.034566795416495,0.0409191993094252,0.14,0.14,1.137295
0.8,"indep",12,28,-0.672621910644767,-0.681530819214103,-0.734449856959852,-0.00890890856933635,-0.0618279463150853,1.13267741890566,0.285067966460115,147.656135414436,-37.6708410306501,0.474140908952346,0.675511725722017,0.946808510638298,0.914893617021277,1251222,940000,0.0491574421334102,0.0697532823170656,0.356084483249026,0.0100946471999925,0.023146654282654,0.0287807719787276,0.06,0.06,1.251222
0.9,"indep",12,28,-0.531415775693636,-0.542614079993232,-0.575379763199763,-0.0111983042995958,-0.0439639875061268,0.888787285126406,0.242595275089948,75.0050811587447,-52.2322084076548,0.508991299441718,0.71008141442402,0.912087912087912,0.879120879120879,1258402,910000,0.0536394072475516,0.0747055540782892,0.321359341626167,0.0115928342788316,0.0296839677583607,0.0341726963522744,0.09,0.09,1.258402
1,"indep",12,28,-0.409949443099545,-0.448085517812365,-0.463611337347418,-0.038136074712821,-0.0536618942478739,0.628417249921934,0.222664554416515,80.4492874375169,-36.0621303965738,0.458011646467588,0.589557000749806,0.969387755102041,0.918367346938776,1371784,980000,0.046342551098577,0.0596119632910265,0.217636726036353,0.0113132631397894,0.0174013649946258,0.0276584051909771,0.02,0.02,1.371784
1.2,"indep",12,28,-0.207397101698341,-0.240222307544606,-0.216097283959025,-0.0328252058462647,-0.00870018226068386,0.243355525893246,0.173190173821692,79.315989566941,27.6148026148809,0.327205854630951,0.366649414810557,0.97,0.95,1446341,1e+06,0.0327195269849736,0.0368392769384666,0.0805129000033303,0.00899722985048661,0.017058722109232,0.0217944947177034,0,0,1.446341
1.4,"indep",12,28,-0.0414320722515917,-0.0818385379711695,-0.0549092769199155,-0.0404064657195778,-0.0134772046683238,0.111874507211496,0.128887462209118,51.7749304357497,74.8556136551111,0.27650184376207,0.270472404671982,0.97,0.97,1469286,1e+06,0.0274911532384982,0.0271497319672341,0.0117807063793734,0.00709301365456307,0.017058722109232,0.017058722109232,0,0,1.469286
1.6,"indep",12,28,0.0996205513262785,0.0920293608492749,0.107183217755593,-0.0075911904770035,0.00756266642931491,0.0878691757686763,0.0964756814038662,2.45932347918401,12.4948875684934,0.298224864808354,0.291478390026198,0.97,0.98,1471929,1e+06,0.0299630148813302,0.0292848183388394,0.00935655101582425,0.0074711249369388,0.017058722109232,0.014,0,0,1.471929
1.8,"indep",12,28,0.22249551249365,0.288660251929153,0.297326460503273,0.0661647394355028,0.0748309480096225,0.054522040543906,0.0636199174529546,0.392238505964548,17.1442936278854,0.251883421711711,0.243650569956349,0.9,0.9,1484159,1e+06,0.0244262413512975,0.0233042956676663,0.00292643250878587,0.00361230284840465,0.03,0.03,0,0,1.484159
2,"indep",12,28,0.331466700981724,0.27315940633696,0.283079747902011,-0.0583072946447644,-0.0483869530797128,0.0562405640579482,0.0666463824897485,0.972699894056017,19.6550086380367,0.254342875167907,0.239756316854266,0.98,0.98,1484351,1e+06,0.024881650684931,0.0236005894129411,0.00282784624789602,0.00377021490675396,0.014,0.014,0,0,1.484351
2.5,"indep",12,28,0.560101460630239,0.536732296329317,0.53548817589641,-0.0233691643009221,-0.0246132847338291,0.0358122873673428,0.0399934890359254,17.4577423659865,31.1713179142619,0.179769931552703,0.175472010242087,0.99,1,1485383,1e+06,0.0179142487305271,0.0174612449927568,0.000941289777520084,0.00110266876657962,0.0099498743710662,0,0,0,1.485383
3,"indep",12,28,0.745380810400251,0.751707338024674,0.745753273933995,0.00632652762442276,0.000372463533743761,0.0278139698350008,0.0310996977855114,-0.804870721520434,10.9132770566751,0.169212725374157,0.166611509182007,0.92,0.94,1485738,1e+06,0.0169946282293617,0.0167450448762401,0.000562452625894442,0.000600124973032301,0.0271293199325011,0.0237486841740758,0,0,1.485738
4,"indep",12,28,1.03598662353616,1.01806335181222,1.00929902339558,-0.0179232717239348,-0.0266876001405758,0.0216665383247156,0.0244360026558724,18.2356111850923,33.3487456850376,0.136690860426725,0.137309369431998,0.98,0.98,1485571,1e+06,0.0136193369863797,0.0135369434401759,0.000264860885671632,0.000284447511027182,0.014,0.014,0,0,1.485571
5,"indep",12,28,1.2604776827778,1.25995911702158,1.24954595247815,-0.000518565756219003,-0.0109317302996523,0.0182696468367806,0.0207843996972587,27.6871856255263,45.2628792427532,0.119678547508862,0.119517990813079,0.98,0.99,1485618,1e+06,0.0120280336786871,0.0119616590352367,0.000167633845003156,0.000234922719414514,0.014,0.0099498743710662,0,0,1.485618
