"Category","age","sex","magnitude","duration","Recovery","Sub.cat","same.trt","same.ctrl","Study","Species","Species.no.phylo","ES.ID","Sp.group","m1i","m2i","sd1i","sd2i","n1i","n2i","nCtrl"
"Mobility","youngest","Male",NA,1,0.932142049,"agility","cb","K","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","98","Bird",48.5,49.7,4.489988864,22.61938107,14,11,14
"Mobility","youngest","Male",NA,0.5,0.932142049,"agility","e","K","Criscuolo_et_al_2011","Taeniopygia.guttata","Taeniopygia.guttata","99","Bird",48.5,8.4,4.489988864,15.30179074,14,8,14
"Condition","juvenile","Mixed",0.833333333,0.366666667,NA,"body_composition","hh",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","100","Amphibian",0.011,0.00968,0.001045197,0.001045197,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.289473684,NA,"body_composition","gg",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","101","Amphibian",0.012,0.01,0.001045197,0.001350649,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.407407407,NA,"body_composition","ff",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","102","Amphibian",0.013,0.012,0.001125051,0.001125051,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.323529412,NA,"body_composition","v",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","103","Amphibian",0.014,0.013,0.001078265,0.001406497,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.366666667,0.384615385,"size_growth","hh",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","104","Amphibian",0.515,0.469,0.048989795,0.041641326,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.407407407,0.351351351,"size_growth","ff",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","105","Amphibian",0.433,0.471,0.044090815,0.044090815,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.323529412,0.465116279,"size_growth","v",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","106","Amphibian",0.442,0.592,0.044090815,0.044090815,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.289473684,0.466666667,"size_growth","gg",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","107","Amphibian",0.526,0.624,0.046540305,0.041641326,6,6,6
"Mobility","juvenile","Mixed",0.833333333,0.407407407,NA,"distance","ff",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","108","Amphibian",10.757,10.021,0.701288913,0.716720699,6,6,6
"Mobility","juvenile","Mixed",0.833333333,0.323529412,NA,"distance","v",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","109","Amphibian",9.864,10.25,0.702758607,0.697124781,6,6,6
"Mobility","juvenile","Mixed",0.833333333,0.289473684,NA,"distance","gg",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","110","Amphibian",10.2462,10.6572,0.696634883,0.708147485,6,6,6
"Mobility","juvenile","Mixed",0.833333333,0.366666667,NA,"distance","hh",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","111","Amphibian",10.911,10.8299,0.715985852,0.695900036,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.407407407,0.351351351,"development_rate","ff",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","112","Amphibian",26.56,32.37,3.037367281,3.037367281,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.366666667,0.384615385,"development_rate","hh",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","113","Amphibian",29.74,33.9,3.037367281,3.037367281,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.323529412,0.465116279,"development_rate","v",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","114","Amphibian",33.33,38.39,3.037367281,3.037367281,6,6,6
"Condition","juvenile","Mixed",0.833333333,0.289473684,0.466666667,"development_rate","gg",NA,"Dahl et al 2012","Rana.temporaria","Rana.temporaria","115","Amphibian",37.39,39.85,3.037367281,3.037367281,6,6,6
"Condition","youngest","Mixed",1,0.133333333,0.80952381,"development_rate","ee",NA,"Eckert 1995","Encope.michelini","Encope.michelini","116","Echinoderm",0.09,0.2,0.009899495,0.028284271,2,2,2
"Condition","youngest","Mixed",1,0.133333333,0.80952381,"development_rate","x",NA,"Eckert 1995","Encope.michelini","Encope.michelini","117","Echinoderm",0.38,0.54,0.098994949,0.084852814,2,2,2
"Reproduction","youngest","Male",0.666666667,1,0.35,"mating","z",NA,"Engqvist 2008","Panorpa.cognata","Panorpa.cognata","118","Insect",453.2,526.4,149.1739253,148.917964,54,56,56
"Condition","juvenile","Female",NA,0.262962963,0.253333333,"size_growth","dd","BX","Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","119","Insect",0.23,0.24,0.113137085,0.18493242,32,38,38
"Condition","juvenile","Male",NA,0.275,0.245454545,"size_growth","aa",NA,"Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","120","Insect",0.24,0.29,0.00678233,0.009165151,46,84,84
"Condition","juvenile","Female",NA,0.188888889,0.297979798,"size_growth","cc","BX","Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","121","Insect",0.34,0.36,0.114891253,0.12328828,33,38,38
"Condition","juvenile","Male",NA,0.275,0.245454545,"development_rate","aa",NA,"Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","122","Insect",4.6,5.4,1.833030278,1.356465997,84,46,84
"Condition","juvenile","Female",NA,0.188888889,0.297979798,"development_rate","cc","BY","Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","123","Insect",5.5,5.9,1.232882801,1.148912529,38,33,38
"Condition","juvenile","Female",NA,0.262962963,0.253333333,"development_rate","dd","BY","Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","124","Insect",7.9,7.6,3.082207001,2.2627417,38,32,38
"Condition","juvenile","Male",NA,0.275,0.245454545,"size_growth","aa",NA,"Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","125","Insect",101.961,106.98,12.76434503,11.50226499,46,84,84
"Condition","juvenile","Female",NA,0.188888889,0.297979798,"size_growth","cc","L","Esperk & Tammaru 2010","Orgyia.antiqua","Orgyia.antiqua","126","Insect",298.618,304.147,100.5987811,96.5840386,33,38,38
