,Telostylinus angusticollis,Poecilia reticulata,Phodopus sungorus,Taeniopygia guttata,Coenagrion puella,Rana temporaria,Crepidula onyx,Encope michelini,Panorpa cognata,Sturnus vulgaris,Petrolisthes laevigatus,Oligosoma maccanni,Scathophaga stercoraria,Simochromis pleurospilus,Gadus macrocephalus,Coenagrion ornatum,Coenagrion hastulatum,Coenagrion mercuriale,Anopheles stephensi,Salmo trutta,Dichochrysa prasina,Crangon crangon,Solea solea,Tribolium castaneum,Leodia sexiesperforata,Mellita tenuis,Gasterosteus aculeatus,Xiphophorus helleri,Melospiza melodia,Cherax quadricarinatus,Pseudacris crucifer,Hippodamia convergens,Coleomegilla maculata,Cryptolaemus montrouzieri,Aedes aegypti,Drosophila melanogaster,Anopheles gambiae,Brachionus calyciflorus,Chrysoperla carnea,Culex quinquefasciatus,Piaractus mesopotamicus,Portunus trituberculatus,Salamandra salamandra,Danaus plexippus,Riparia riparia,Balanus glandula,Scaphiopus couchii,Nicrophorus vespilloides,Rissa brevirostris,Lithobates sylvaticus
Petrolisthes laevigatus,0.335006274,0,0,0,0.335006274,0,0.055207026,0,0.335006274,0,1,0,0.335006274,0,0,0.335006274,0.335006274,0.335006274,0.335006274,0,0.335006274,0.553324969,0,0.335006274,0,0,0,0,0,0.574654956,0,0.335006274,0.335006274,0.335006274,0.335006274,0.335006274,0.335006274,0.055207026,0.335006274,0.335006274,0,0.613550816,0,0.335006274,0,0.335006274,0,0.335006274,0,0
Oligosoma maccanni,0,0.454203262,0.608531995,0.64868256,0,0.558343789,0,0.141781681,0,0.64868256,0,1,0,0.454203262,0.454203262,0,0,0,0,0.454203262,0,0,0.454203262,0,0.141781681,0.141781681,0.454203262,0.454203262,0.64868256,0,0.558343789,0,0,0,0,0,0,0,0,0,0.454203262,0,0.55859473,0,0.64868256,0,0.55859473,0,0.64868256,0.55859473
Scathophaga stercoraria,0.924717691,0,0,0,0.481806775,0,0.055207026,0,0.658720201,0,0.335006274,0,1,0,0,0.481806775,0.481806775,0.481806775,0.658720201,0,0.611041405,0.335006274,0,0.611041405,0,0,0,0,0,0.335006274,0,0.611041405,0.611041405,0.611041405,0.658720201,0.930991217,0.658720201,0.055207026,0.611041405,0.658720201,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Simochromis pleurospilus,0,0.850690088,0.454203262,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,1,0.814303639,0,0,0,0,0.74153074,0,0,0.839397742,0,0.141781681,0.141781681,0.839397742,0.850690088,0.454203262,0,0.454203262,0,0,0,0,0,0,0,0,0,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Gadus macrocephalus,0,0.814303639,0.454203262,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0.814303639,1,0,0,0,0,0.74153074,0,0,0.814303639,0,0.141781681,0.141781681,0.814303639,0.814303639,0.454203262,0,0.454203262,0,0,0,0,0,0,0,0,0,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Coenagrion ornatum,0.481806775,0,0,0,0.997214555,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0,0,1,0.985194479,0.9902133,0.481806775,0,0.481806775,0.335006274,0,0.481806775,0,0,0,0,0,0.335006274,0,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.055207026,0.481806775,0.481806775,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Coenagrion hastulatum,0.481806775,0,0,0,0.985194479,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0,0,0.985194479,1,0.985194479,0.481806775,0,0.481806775,0.335006274,0,0.481806775,0,0,0,0,0,0.335006274,0,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.055207026,0.481806775,0.481806775,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Coenagrion mercuriale,0.481806775,0,0,0,0.9902133,0,0.055207026,0,0.481806775,0,0.335006274,0,0.481806775,0,0,0.9902133,0.985194479,1,0.481806775,0,0.481806775,0.335006274,0,0.481806775,0,0,0,0,0,0.335006274,0,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.481806775,0.055207026,0.481806775,0.481806775,0,0.335006274,0,0.481806775,0,0.335006274,0,0.481806775,0,0
Anopheles stephensi,0.658720201,0,0,0,0.481806775,0,0.055207026,0,0.658720201,0,0.335006274,0,0.658720201,0,0,0.481806775,0.481806775,0.481806775,1,0,0.611041405,0.335006274,0,0.611041405,0,0,0,0,0,0.335006274,0,0.611041405,0.611041405,0.611041405,0.761606023,0.658720201,0.901706399,0.055207026,0.611041405,0.761606023,0,0.335006274,0,0.658720201,0,0.335006274,0,0.611041405,0,0
Salmo trutta,0,0.74153074,0.454203262,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0.74153074,0.74153074,0,0,0,0,1,0,0,0.74153074,0,0.141781681,0.141781681,0.74153074,0.74153074,0.454203262,0,0.454203262,0,0,0,0,0,0,0,0,0,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Dichochrysa prasina,0.611041405,0,0,0,0.481806775,0,0.055207026,0,0.611041405,0,0.335006274,0,0.611041405,0,0,0.481806775,0.481806775,0.481806775,0.611041405,0,1,0.335006274,0,0.617314931,0,0,0,0,0,0.335006274,0,0.617314931,0.617314931,0.617314931,0.611041405,0.611041405,0.611041405,0.055207026,0.948557089,0.611041405,0,0.335006274,0,0.611041405,0,0.335006274,0,0.617314931,0,0
Crangon crangon,0.335006274,0,0,0,0.335006274,0,0.055207026,0,0.335006274,0,0.553324969,0,0.335006274,0,0,0.335006274,0.335006274,0.335006274,0.335006274,0,0.335006274,1,0,0.335006274,0,0,0,0,0,0.553324969,0,0.335006274,0.335006274,0.335006274,0.335006274,0.335006274,0.335006274,0.055207026,0.335006274,0.335006274,0,0.553324969,0,0.335006274,0,0.335006274,0,0.335006274,0,0
Solea solea,0,0.839397742,0.454203262,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0.839397742,0.814303639,0,0,0,0,0.74153074,0,0,1,0,0.141781681,0.141781681,0.861982434,0.839397742,0.454203262,0,0.454203262,0,0,0,0,0,0,0,0,0,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
Tribolium castaneum,0.611041405,0,0,0,0.481806775,0,0.055207026,0,0.611041405,0,0.335006274,0,0.611041405,0,0,0.481806775,0.481806775,0.481806775,0.611041405,0,0.617314931,0.335006274,0,1,0,0,0,0,0,0.335006274,0,0.700125471,0.700125471,0.700125471,0.611041405,0.611041405,0.611041405,0.055207026,0.617314931,0.611041405,0,0.335006274,0,0.611041405,0,0.335006274,0,0.663739021,0,0
Leodia sexiesperforata,0,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0.969861982,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681,0,0,0,0,0.141781681,0,0,0.141781681,0,1,0.969861982,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0,0,0,0,0,0,0,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681
Mellita tenuis,0,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0.971066499,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681,0,0,0,0,0.141781681,0,0,0.141781681,0,0.969861982,1,0.141781681,0.141781681,0.141781681,0,0.141781681,0,0,0,0,0,0,0,0,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0,0.141781681,0.141781681
Gasterosteus aculeatus,0,0.839397742,0.454203262,0.454203262,0,0.454203262,0,0.141781681,0,0.454203262,0,0.454203262,0,0.839397742,0.814303639,0,0,0,0,0.74153074,0,0,0.861982434,0,0.141781681,0.141781681,1,0.839397742,0.454203262,0,0.454203262,0,0,0,0,0,0,0,0,0,0.711417817,0,0.454203262,0,0.454203262,0,0.454203262,0,0.454203262,0.454203262
