"","theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","facet_label"
"159",2.5,"paired",5,5,0.53664724034191,0.631389912029293,0.637582090772624,0.0947426716873828,0.100934850430714,0.139015649713619,0.123307404715191,-1.56604716277298,-12.6887132116398,0.390607872621679,0.389119221019229,0.92061,0.90375,10230101548,1e+10,0.00119833122430025,0.00118839108212955,0.000220220572865697,0.000104147890697103,0.000854910684808653,0.000932662519349845,"paired n1=5 n2=5"
"160",3,"paired",5,5,0.729307511349758,0.828022690392025,0.828546273748702,0.0987151790422667,0.0992387623989437,0.126869809294361,0.110441887281333,-5.34837128146007,-17.6044752642959,0.378806999203448,0.379322670053287,0.91842,0.9008,10230177986,1e+10,0.00115650937560449,0.00115775082138104,6.6204623593433e-05,7.14392175650099e-05,0.000865590570651044,0.00094530079868791,"paired n1=5 n2=5"
"161",4,"paired",5,5,1.02706186684777,1.12698588681334,1.1227381566617,0.0999240199655673,0.0956762898139245,0.116807243321122,0.100850048473222,-6.39834752249809,-19.1853953476297,0.364352888707762,0.365984377715213,0.91865,0.89929,10230168744,1e+10,0.00110801374286633,0.00111710277153732,5.21125781865277e-05,5.89137824576499e-05,0.00086447774696634,0.000951669563976909,"paired n1=5 n2=5"
"162",5,"paired",5,5,1.25479963118919,1.35677323105057,1.35069725252452,0.101973599861387,0.0958976213353315,0.112523186338342,0.0970101998621182,-8.79088870095437,-21.3654145043388,0.362195760987286,0.364092682983973,0.91524,0.89549,10230308971,1e+10,0.00109903758849318,0.00111071311196146,4.92030971721232e-05,5.71034314020625e-05,0.00088077092595067,0.000967407152650837,"paired n1=5 n2=5"
"163",0.2,"paired",10,10,NA,-1.58358070189266,-2.09213130596853,NA,NA,6.12476287127545,0.404288847915885,318.900175558141,-72.3488610208194,NA,NA,NA,NA,1453103581,1429300000,NA,NA,0.0622708463006344,0.000463386962582533,NA,NA,"paired n1=10 n2=10"
"164",0.3,"paired",10,10,NA,-1.47667756348108,-1.90419935376971,NA,NA,5.02022904492456,0.393746490000765,272.595167677844,-70.7766243030846,NA,NA,NA,NA,2706561774,2660400000,NA,NA,0.0425061083752298,0.000393817417546681,NA,NA,"paired n1=10 n2=10"
"165",0.4,"paired",10,10,NA,-1.36749430129478,-1.72013928246029,NA,NA,4.12295864189342,0.379971432426897,233.443887268071,-69.2698466116419,NA,NA,NA,NA,4421035066,4343200000,NA,NA,0.0308851506156663,0.000354578835079856,NA,NA,"paired n1=10 n2=10"
"166",0.5,"paired",10,10,-1.84443972705697,-1.22974268382985,-1.49888249883963,0.614697043227117,0.345557228217342,3.09245047273236,0.360228303552984,186.680568227062,-66.6056237069516,0.8860064443005,1.09457829583835,0.747919765902143,0.690065553938958,6230350197,6117100000,0.00257994606533044,0.00419932471537759,0.0228363219085774,0.000343197162459899,0.00175559409754946,0.00186985232058682,"paired n1=10 n2=10"
"167",0.6,"paired",10,10,-1.26286432215413,-1.08828345019159,-1.28413801246987,0.174580871962535,-0.0212736903157464,2.25427008352974,0.336306329706301,143.663585930929,-63.6487185514186,0.640467580446189,0.962079664391004,0.870984516581948,0.806294769958789,7838902228,7692100000,0.00222183721099,0.00346804877907581,0.017481643812058,0.000342441832886664,0.00120865867516035,0.00142493526257868,"paired n1=10 n2=10"
"168",0.7,"paired",10,10,-0.965510768280782,-0.921652946059616,-1.0433716395083,0.0438578222211659,-0.0778608712275208,1.42493473031769,0.30475770071314,104.948049416851,-56.1667668160512,0.569934259962593,0.83744894476627,0.909168235534284,0.854072629119695,8988599212,8817400000,0.00191367092055983,0.00280805312436677,0.0126103301384752,0.000345158979113994,0.000967766825974735,0.00118890049961669,"paired n1=10 n2=10"
