"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","med_var_delta","med_var_safe","trim_var_delta","trim_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.7,"indep",100,100,0,-0.724084882418989,0.0533904167646427,0.0585976921508752,1000,-0.738154105560042,-0.763857332477991,-0.014069223141053,-0.0397724500590021,0.0590428369350212,0.0675639438903812,0.046915428588624,0.0535074893357441,0.0502334361894194,0.0590876987528734,-5.91300979938026,0.836221673605397,0.231376250699312,0.245195722316724,0.948,0.959,12196588,1e+07
0.8,"indep",100,100,0,-0.585591490751473,0.0393395991263971,0.0435313631107102,1000,-0.598035116585988,-0.616519919561658,-0.0124436258345154,-0.0309284288101852,0.0410639860355392,0.0470081302236797,0.036483579202886,0.0396644119775186,0.0381403820876453,0.0424615201424901,-3.04837127317631,-2.4576371879264,0.198633087251797,0.210818403979032,0.949,0.955,11118434,1e+07
0.9,"indep",100,100,0,-0.464434757040508,0.0300559079895835,0.0324963949865744,1000,-0.47278377337274,-0.485698529585464,-0.00834901633223195,-0.0212637725449558,0.0313975163520794,0.0343643791578143,0.0285648878899393,0.0304210342177534,0.0297298742506604,0.0319141242987999,-1.08475757590195,-1.79180086903511,0.173480714073092,0.181427800004386,0.963,0.968,10424135,1e+07
1,"indep",100,100,0,-0.356674943938733,0.0230622606133637,0.0243534625008339,1000,-0.365285476286755,-0.374579527475754,-0.00861053234802217,-0.0179045835370212,0.0251964457850217,0.0268009270063384,0.0238112014306672,0.0249857086821685,0.0242855121217734,0.0255887588948437,5.30412663752835,5.07236453119377,0.152030719330229,0.157002175621764,0.963,0.966,10054971,1e+07
1.5,"indep",100,100,0,0.0544272024560408,0.0119346195608744,0.0121881394832607,1000,0.0516177818063869,0.0494064146853858,-0.00280942064965393,-0.00502078777065501,0.0119456108042934,0.0122448405177403,0.0116544014999783,0.0119054191453095,0.0117802733537196,0.0120656429107695,-1.29326457678492,-1.00504734672161,0.109227184279831,0.110458859552394,0.953,0.953,1e+07,1e+07
2,"indep",100,100,0,0.3440673193682,0.00739501842039438,0.00747818406721387,1000,0.342433634495946,0.342449088120901,-0.00163368487225385,-0.00161823124729926,0.00770941870109897,0.00785464635028455,0.00757201632416239,0.00773564081475393,0.00763904748221096,0.0077813296898658,3.2999114801876,4.05373309786508,0.0859668094571145,0.0864483924403248,0.954,0.957,1e+07,1e+07
3,"indep",100,100,0,0.750926350877081,0.00494805315454378,0.00496932246316596,1000,0.751491419253335,0.752956800607681,0.000565068376253808,0.00203044973059963,0.00479112244663862,0.00489473774282247,0.00476450790239093,0.00486669322566654,0.00477683810287141,0.00488074678110701,-3.46025085674645,-1.78244987552113,0.0703094901393765,0.0704874163720822,0.947,0.946,1e+07,1e+07
4,"indep",100,100,0,1.03909537988909,0.00405612267086716,0.0040661674367433,1000,1.04466395522097,1.04659097341699,0.00556857533187971,0.00749559352789819,0.00378166946869876,0.00388270936769866,0.00377395846587247,0.00387249819963119,0.00377723144493385,0.00387936943602817,-6.87580846448331,-4.59395742111249,0.0638989481871424,0.0641738668902072,0.949,0.949,1e+07,1e+07
5,"indep",100,100,0,1.26246416206874,0.00325903243322757,0.00326371694587032,1000,1.26503152267265,1.26722922619581,0.00256736060390739,0.00476506412706534,0.00333200994339014,0.0034274695619077,0.00332619364261849,0.00342233664636943,0.00332982399562565,0.00342431015057428,2.17216501671842,4.92056165921992,0.0571171142589053,0.0572988574498611,0.944,0.947,1e+07,1e+07
0.2,"indep",3,7,0,NA,0.530415011465601,0.0818679925223936,372,-0.669775959628497,-0.250242159458822,NA,NA,2245.52274119279,0.437131185577371,1.74339641758503,0.46460906716912,6.11961914468927,0.449551069254657,1053.74169516432,449.117005808699,NA,NA,NA,NA,4251184,3720000
0.3,"indep",3,7,0,NA,0.595792731754219,0.0913305967929996,385,-0.654817525815929,-0.233353445353816,NA,NA,1118.19362012424,0.433985343300817,1.58510043783731,0.456970205542618,5.93370202590797,0.446441977852029,895.933939717108,388.819731315111,NA,NA,NA,NA,4384365,3850000
0.4,"indep",3,7,0,NA,0.471882655390396,0.103612160030712,402,-0.541838465185111,-0.203018162050812,NA,NA,174.40656523466,0.42664607786404,1.37301613115521,0.455378058897932,3.63446499848998,0.438244484722378,670.20525271969,322.966266307424,NA,NA,NA,NA,4568134,4020000
0.5,"indep",3,7,0,NA,0.617592056662333,0.0981918036961738,459,-0.641811874448761,-0.226632003211795,NA,NA,1729.27343363128,0.42956821518922,1.4092723590634,0.456924251357234,6.01552568200557,0.442585152491931,874.028991647888,350.735332107131,NA,NA,NA,NA,5219599,4590000
