"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.3,"indep",20,20,0,NA,0.424529918085937,0.054657187891659,523,-1.40309424982558,-1.03155680165898,NA,NA,225.982773471645,0.37890452789733,53131.2950970629,593.238240958153,NA,NA,NA,NA,6322180,5230000
0.4,"indep",20,20,0,-1.75327894865999,0.460596246377102,0.0742245305349262,589,-1.21803858085115,-0.942862726108105,0.535240367808845,0.810416222551886,456.337141270199,0.35253620541368,98975.3061623051,374.959158209556,0.86388454129388,0.854911086857298,0.767402376910017,0.796264855687606,7364568,5890000
0.5,"indep",20,20,0,-1.29513358272291,0.394295102363286,0.088192773273721,727,-1.1085101661812,-0.89348146083738,0.186623416541714,0.401652121885533,33.7654471120948,0.33810312378866,8463.49645474035,283.368286582055,0.654661013666276,0.499395524343343,0.869325997248968,0.910591471801926,9263292,7270000
0.6,"indep",20,20,0,-1.02011041426328,0.351958277202478,0.103383944449035,829,-0.934730486695911,-0.800038139782478,0.0853799275673666,0.220072274480799,94.087762464712,0.31044359959852,26632.646611571,200.28221621159,0.599018740609637,0.389475340968972,0.890229191797346,0.926417370325694,10863927,8290000
0.7,"indep",20,20,0,-0.817377860209195,0.301806838044676,0.110346324730787,895,-0.837091780210204,-0.7432792773116,-0.019713920001009,0.0740985828975949,28.9029901282837,0.293114744375425,9476.65184643871,165.631633034033,0.549416292388839,0.340167065918026,0.913966480446927,0.948603351955307,11909852,8950000
0.8,"indep",20,20,0,-0.654666659991881,0.254660251649095,0.118658506661279,942,-0.708029305883792,-0.657703103222869,-0.0533626458919114,-0.00303644323098784,28.9878828604757,0.266762612050715,11282.9632511395,124.815413202706,0.507185847255004,0.344298943077575,0.932059447983015,0.950106157112527,12840415,9420000
0.9,"indep",20,20,0,-0.51781874475336,0.262450482740066,0.133410216057848,966,-0.593550732968758,-0.560394658746914,-0.075731988215398,-0.0425759139935533,4.34036770405779,0.237895232090965,1553.78537648054,78.3186019186194,0.517604220335182,0.367538866919555,0.932712215320911,0.947204968944099,13457757,9660000
1,"indep",20,20,0,-0.399253848108886,0.20794023773301,0.127948416664198,981,-0.463898392644404,-0.458131391930218,-0.0646445445355187,-0.058877543821332,1.41770218976696,0.207526791100466,581.783480303247,62.1956695604304,0.46033377808787,0.362332106374906,0.936799184505607,0.946992864424057,13963774,9810000
1.5,"indep",20,20,0,0.0361603307898131,0.0772648842909616,0.0812783554412186,1000,0.017637393967514,0.00198106273669603,-0.0185229368222991,-0.034179268053117,0.0859773713545087,0.0937462272128098,11.2761277564823,15.3397195402263,0.27844338490112,0.286993552977108,0.95,0.955,14888119,1e+07
2,"indep",20,20,0,0.333914686287828,0.0434515686263355,0.0469869992824609,1000,0.33010858603397,0.328241162598292,-0.00380610025385819,-0.00567352368953616,0.0436985161749022,0.0501003943963869,0.568328270701435,6.62607776932065,0.208380909530724,0.216730711146884,0.953,0.957,14966999,1e+07
3,"indep",20,20,0,0.746452048089074,0.0278818340343282,0.0286501880640862,1000,0.754335580502389,0.762518634194817,0.00788353241331496,0.0160665861057431,0.0253980158182747,0.0285662562642826,-8.90837458179893,-0.292953748212221,0.167081124857375,0.169940204381174,0.926,0.934,14969120,1e+07
4,"indep",20,20,0,1.03658596433312,0.0200263637277367,0.0203227381877557,1000,1.04437813783228,1.05548974247623,0.00779217349916395,0.0189037781431123,0.0198368691049145,0.0227572216523724,-0.946225812126578,11.97911148648,0.141658234253608,0.143735062798372,0.952,0.958,14969362,1e+07
5,"indep",20,20,0,1.26086031145536,0.0182643812060796,0.0184152299673017,1000,1.27042579815435,1.28266541922825,0.00956548669899604,0.0218051077728945,0.0173772085479424,0.0201812247345668,-4.85739236455451,9.58985997134352,0.135416451587915,0.13737640795392,0.944,0.955,14969264,1e+07
0.2,"indep",100,100,0,-2.30258509299405,0.398978757229026,0.0702123365925048,685,-1.98792400840553,-1.75826533060467,0.31466108458852,0.544319762389377,241.830325052967,0.336420963441809,60512.331025471,379.147938622687,0.705271511294033,0.605304750153741,0.854014598540146,0.896350364963504,8610176,6850000
0.3,"indep",100,100,0,-1.67620360874636,0.295121571200446,0.102902666322462,882,-1.66379875398118,-1.57962314423146,0.0124048547651816,0.0965804645149018,6.82318265528802,0.282034467285875,2211.9904883719,174.078872166513,0.543084566772231,0.334833962970707,0.90702947845805,0.937641723356009,11718755,8820000
0.4,"indep",100,100,0,-1.32963001846639,0.234677434980023,0.120880043397544,965,-1.40998745972936,-1.39665747373313,-0.080357441262974,-0.067027455266738,7.53377889898208,0.226521566269801,3110.26983255693,87.3936837736146,0.490807054039123,0.353903177244006,0.930569948186528,0.953367875647668,13293048,9650000
0.5,"indep",100,100,0,-1.08141157530944,0.127474425515133,0.103300602917807,992,-1.12962929757313,-1.1612570622391,-0.0482177222636886,-0.0798454869296583,0.677146960901157,0.157522300688863,431.202206375719,52.4892364996155,0.360098419616575,0.331016270035998,0.949596774193548,0.957661290322581,13964456,9920000
0.6,"indep",100,100,0,-0.885978420965938,0.0896469363249919,0.0899505896755936,998,-0.922641022385365,-0.955452948619979,-0.0366626014194275,-0.0694745276540407,0.108680861165994,0.106340088069918,21.232097404868,18.2205569228983,0.301498351700847,0.307712802491166,0.952905811623247,0.963927855711423,13217730,9980000
0.7,"indep",100,100,0,-0.724084882418989,0.0605843688367052,0.0613966022005456,999,-0.751106559873634,-0.776781621500514,-0.0270216774546449,-0.0526967390815246,0.247000337060974,0.069801317148765,307.69647650654,13.6892183719976,0.247495242126627,0.253203654101024,0.942942942942943,0.947947947947948,12345563,9990000
0.8,"indep",100,100,0,-0.585591490751473,0.0351753169813981,0.0388854377676903,1000,-0.597597944698841,-0.615976395744529,-0.0120064539473682,-0.0303849049930561,0.0405364740719228,0.0462550006638543,15.2412474160782,18.951986448478,0.187841147251626,0.199423656523893,0.957,0.961,11065364,1e+07
0.9,"indep",100,100,0,-0.464434757040508,0.0321907537805681,0.0348101627459374,1000,-0.484576818610108,-0.497866444245169,-0.0201420615696006,-0.0334316872046609,0.0324499873032932,0.0355841358342054,0.805304294805365,2.22341128915962,0.180455716648326,0.189454559967665,0.961,0.964,10402019,1e+07
1,"indep",100,100,0,-0.356674943938733,0.0249423596729509,0.0264004485010524,1000,-0.36591720613421,-0.375362050788723,-0.00924226219547741,-0.0186871068499906,0.0253584595244848,0.0270551680635111,1.66824573532709,2.47995621147366,0.158122853262164,0.163472493144793,0.948,0.955,10134853,1e+07
