"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_tried","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
0.6,"indep",10,10,-1.26286432215413,-0.813912011890079,-1.08056939116225,0.448952310264049,0.182294930991876,3.45647770376491,0.406604315261926,197.62690716591,-64.9885243987239,0.801437218607621,0.889888036931556,0.799760449617641,0.721875863763398,1e+10,18264315000,0.00260155131854723,0.00275440894417877,0.0233797657250817,0.000286744263173317,0.00156816236695408,0.00175584726480467,0.34878,0,0.547515743130799
0.7,"indep",10,10,-0.965510768280782,-0.728062799459104,-0.983774461673902,0.237447968821678,-0.0182636933931205,2.9153154584704,0.389072628346923,178.659065333844,-62.8106746914379,0.686852289829735,0.874110557917752,0.850147077101545,0.775835163165817,1e+10,17013820000,0.00239511232425662,0.00276359067591485,0.0203959684285308,0.000311850428156345,0.00132640872385127,0.00154976625947109,0.27589,0,0.587757481858865
0.8,"indep",10,10,-0.757063866314888,-0.637985095917492,-0.869029813266107,0.119078770397395,-0.11196594695122,2.42535029835923,0.369114816751409,158.656298730321,-60.6350173943826,0.636092077861836,0.875683894213401,0.877633978320332,0.803287407557492,1e+10,15824885000,0.00222356919872118,0.00274644033658586,0.0178968108600053,0.000333784118782701,0.00116616919564553,0.00141457504080107,0.21032,0,0.631916124508962
0.9,"indep",10,10,-0.593721751187363,-0.549315995510722,-0.746433753854061,0.0444057556766407,-0.152712002666698,1.99171410947257,0.347672131629964,138.889292239143,-58.2996630583943,0.607202901462439,0.866384669951523,0.89579472895299,0.82352732895063,1e+10,14744855000,0.00208046787546155,0.00269686616956732,0.0155935701717873,0.000351869865462749,0.00104963470196903,0.00130968490766575,0.15273,0,0.678202667981476
1,"indep",10,10,-0.458145365937078,-0.455236954568591,-0.613391744026831,0.00290841136848619,-0.155246378089753,1.57328192375182,0.324621747111393,118.359900045273,-54.944901367247,0.580873952593753,0.832592469518398,0.905519313112292,0.841370188535432,1e+10,13829655000,0.00194474375978601,0.00258672664489987,0.0133044830626854,0.000365313758535183,0.00097927321034558,0.00122312109969058,0.10786,0,0.72308383687084
1.2,"indep",10,10,-0.2390179004715,-0.275242926598536,-0.357991416816564,-0.0362250261270357,-0.118973516345064,0.958448593099593,0.278069723043475,86.0653186506015,-46.017833405289,0.526625430339822,0.727880973349326,0.923030105879514,0.877949987932464,1e+10,12424240000,0.00170190214319099,0.00227081740874108,0.00963477464139288,0.000370129251104075,0.000863433238714558,0.00106038649371762,0.04703,0,0.804878205829894
1.4,"indep",10,10,-0.0639166857549427,-0.100309618622371,-0.127910433860167,-0.0363929328674287,-0.0639937481052247,0.537916167390828,0.232241350399576,60.2593399505276,-30.8092082363207,0.464807396124981,0.590850490488509,0.927499364029509,0.904421266853218,1e+10,11537610000,0.00147814969851734,0.00185745135182454,0.0064372887151564,0.000354483519801943,0.000827191745740656,0.000937873989736441,0.01725,0,0.866730631387263
1.6,"indep",10,10,0.0827572192387867,0.0583528277321398,0.0595674959257214,-0.0244043915066469,-0.0231897233130652,0.298540322860577,0.19088127320652,39.1634522773708,-11.0214101063831,0.406597662360018,0.469590018240569,0.932200492685134,0.926388819063898,1e+10,11023495000,0.0012869748515118,0.00148316965231918,0.00404025522813843,0.000320265294043718,0.000797176746964836,0.000828047469051689,0.00545,0,0.907153312084779
1.8,"indep",10,10,0.209355167429093,0.195717984333647,0.207128334377541,-0.0136371830954457,-0.00222683305155161,0.176765507283168,0.156450695024244,26.2432524501171,11.7347207128045,0.356559531385734,0.377023156885921,0.935741041203453,0.941089277487331,1e+10,10751415000,0.00112758947606542,0.00119223707152572,0.00232384162714115,0.000274570349743836,0.000776031491899001,0.000745156084015253,0.00154,0,0.930110129689906
2,"indep",10,10,0.320926943086197,0.315523117187999,0.327328946233693,-0.00540382589819827,0.00640200314749617,0.119119563452229,0.128915472389722,20.0819917840205,29.9570469173505,0.319001316024774,0.315754436899592,0.939394242503051,0.950387100646168,1e+10,10613290000,0.0010087621797126,0.000998302936919611,0.0011819016440009,0.000225978271457978,0.000754635713485202,0.000686758488402544,0.00026,0,0.942214902259337
2.5,"indep",10,10,0.553455545741402,0.562528467059307,0.563765118640887,0.00907292131790516,0.0103095728994849,0.0705429759837609,0.0853453418799646,11.6579809151679,35.0877025237109,0.263879486412994,0.251561888953055,0.94199,0.95891,1e+10,10510780000,0.000833970988439971,0.000794844188866873,0.000112260129418516,0.000121595956654123,0.000739221481695439,0.000627707032778827,0,0,0.951404177425462
3,"indep",10,10,0.740802270462108,0.75583810683547,0.748946583431244,0.015035836373362,0.00814431296913631,0.0549991422909824,0.0653691554802422,5.45079446936192,25.3333977957868,0.23643263474732,0.228521383071371,0.94292,0.96232,1e+10,10500450000,0.000746155956532042,0.000722192593767448,4.67503793852645e-05,6.26377650593277e-05,0.000733633925060721,0.000602164575510716,0,0,0.952340137803618
