"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
1.2,"indep",20,20,-0.200238783298563,-0.240445826611895,-0.22022237891398,-0.0402070433133323,-0.0199835956154175,0.202325481686368,0.153587957583112,33.0464647307538,0.997336624785361,0.360448882782646,0.39045535733195,0.936108324974925,0.930892678034102,1035628285,9.97e+08,0.00358755876162565,0.0039054946102661,0.00877699130596466,0.00090262976289583,0.00244927534956167,0.00254017864022053
1.4,"indep",20,20,-0.0362853464174178,-0.0550293142854638,-0.0352549355759738,-0.018743967868046,0.00103041084144399,0.0998074743869259,0.109377716566539,19.2938405878189,30.732572526227,0.295070547031792,0.289236806946789,0.942988597719544,0.947789557911582,1043327563,999800000,0.00294518783421939,0.00289278366523101,0.00248334876170565,0.000683952118370321,0.00231887594885549,0.00222473393257466
1.6,"indep",20,20,0.103507084692163,0.0921482497668659,0.105319235864204,-0.0113588349252974,0.00181215117204039,0.0696388017886997,0.0805345851306396,17.3435201848703,35.7032498136815,0.255296193688525,0.24360510748441,0.9477,0.9553,1046091481,1e+09,0.00255056128614591,0.0024361054802806,0.0015000279505851,0.000477685076956159,0.00222631332026739,0.00206644404714959
1.8,"indep",20,20,0.225537809680109,0.219759124927325,0.226427612861027,-0.00577868475278404,0.000889803180918441,0.0525778100287866,0.0615920387302399,14.3261682432121,33.9268748253408,0.225422761257362,0.214442294481055,0.9464,0.9572,1047333134,1e+09,0.00225359949427804,0.00214451171232714,0.000254868734407672,0.000308348384064892,0.0022522664140816,0.00202405928766921
2,"indep",20,20,0.333914686287828,0.33322513391712,0.334860545860466,-0.000689552370708169,0.000945859572638763,0.0433138402020778,0.0495641951688416,12.4939377122475,28.7272487978076,0.203988896797299,0.196214959776371,0.9518,0.9635,1047741777,1e+09,0.00203997931483906,0.00196222491362034,0.00014714931524798,0.000191915404874682,0.00214188608473934,0.00187530664159225
2.5,"indep",20,20,0.561652450629241,0.566478986070073,0.561364599664006,0.00482653544083178,-0.000287850965234537,0.0313030317204421,0.0351283791001606,2.76934642854607,15.3281443618176,0.178286727542041,0.174518020507005,0.9471,0.9652,1047843248,1e+09,0.00178230295901471,0.00174526509659028,7.15562606015864e-05,8.32578658193833e-05,0.00223833844625874,0.00183272911255319
3,"indep",20,20,0.746452048089074,0.754952138239917,0.74669639479806,0.00850009015084252,0.000244346708985876,0.0253181104730267,0.0285135716997863,1.46117279236384,14.2668378922524,0.160240326631856,0.157959048880252,0.9439,0.9618,1047846370,1e+09,0.00160022721741816,0.00157966758425677,4.09676774623103e-05,4.56627000022239e-05,0.00230114732253283,0.00191678793819243
4,"indep",20,20,1.03658596433312,1.04752726079128,1.03643869625014,0.0109412964581557,-0.000147268082983265,0.019801136259103,0.0227248094378166,-1.50466057118475,13.0383524331289,0.143141326410061,0.141780248773812,0.9456,0.9662,1047844393,1e+09,0.00142729690445611,0.00141787261829959,1.93779412616511e-05,2.35079304531905e-05,0.00226805290943576,0.00180714028232454
5,"indep",20,20,1.26086031145536,1.2713278633497,1.25901768871159,0.0104675518943411,-0.00184262274376401,0.017365877030608,0.020222473759948,-1.59319936067598,14.5942091045363,0.133797204109808,0.132848259099113,0.9453,0.965,1047840481,1e+09,0.00133393783869783,0.00132842122047294,1.13253047862847e-05,1.69777975788927e-05,0.00227393733422889,0.00183779759494891
0.2,"indep",100,100,-2.30258509299405,-1.98001366220317,-2.20726941723276,0.322571430790871,0.0953156757612819,3.34283004877073,0.334385559423706,211.899711655603,-68.8004600759157,0.71120792582563,1.03956226179339,0.838998211091234,0.745378652355397,684607057,670800000,0.00773965433731886,0.0126401764091316,0.0716609654581046,0.00100195911671772,0.00448744709236991,0.00531911468786386
0.3,"indep",100,100,-1.67620360874636,-1.69076630193013,-1.78814866707328,-0.0145626931837639,-0.111945058326918,1.73304953639504,0.286105025999853,131.695085831209,-61.7500093542242,0.570712887619716,0.872027747598412,0.916753381893861,0.837669094693028,886017594,864900000,0.00613505426618517,0.00929959699236305,0.0451338649905805,0.00105110673062897,0.00297047985517686,0.00396509779438561
0.4,"indep",100,100,-1.32963001846639,-1.39162295978966,-1.39956973543204,-0.0619929413232723,-0.0699397169656464,0.712899086397323,0.222342541221889,76.0661831498117,-45.0875960823581,0.477587405533405,0.64012005008385,0.932698281217643,0.887347276868917,995276091,965800000,0.00481883241216467,0.00647489088092323,0.024728416379137,0.00106396110271998,0.00254941223357968,0.00321717034652217
0.5,"indep",100,100,-1.08141157530944,-1.13297627027438,-1.1028318773142,-0.0515646949649353,-0.0214203020047556,0.270951270256686,0.15851853383388,47.6041423832791,-13.6450173633118,0.372328342900143,0.428959842302934,0.943506232408524,0.926718938480096,1030522010,994800000,0.00369721456128917,0.00429564550676065,0.0127842376577649,0.000930177080650107,0.00231475359799279,0.00261277496888649
0.6,"indep",100,100,-0.885978420965938,-0.918570045483074,-0.884624763296576,-0.0325916245171365,0.00135365766936157,0.106652376512676,0.105003736350004,27.3362380245393,25.3678652321542,0.288731916146012,0.289395838112346,0.948363854698289,0.94306014209947,1036714445,999300000,0.00287001395908948,0.00289508498777416,0.00417754673127606,0.000706392215149804,0.00221368825063035,0.00231808811761859
0.7,"indep",100,100,-0.724084882418989,-0.750271998692481,-0.72357764664763,-0.0261871162734915,0.000507235771359249,0.061089795975279,0.0698567474421127,21.7499230773653,39.2221645486239,0.235738448056323,0.223990390739124,0.9557,0.9544,1031182054,1e+09,0.00234291143808914,0.00224001016740745,0.00205475227566443,0.000469676501305209,0.00205760807735584,0.00208616010890823
0.8,"indep",100,100,-0.585591490751473,-0.598607287282839,-0.580039282117439,-0.0130157965313659,0.00555220863403394,0.0411139111162619,0.0470634387318358,17.2165108386624,34.1787226375783,0.197986915078034,0.187356630886911,0.9553,0.9545,1019018530,1e+09,0.00197568496764697,0.00187283708942722,0.00020197265591482,0.000271371732367335,0.00206644404714959,0.0020839805661282
0.9,"indep",100,100,-0.464434757040508,-0.475570473886295,-0.462510747996176,-0.0111357168457869,0.00192400904433221,0.0315561764532943,0.0345857747866273,14.2254500566909,25.1918367362734,0.173296140945733,0.166214202833978,0.956,0.9571,1008862493,1e+09,0.00172946637235151,0.00166211377574267,0.000121222375018557,0.000157903628615048,0.00205095099892708,0.00202631660902239
1,"indep",100,100,-0.356674943938733,-0.365019944165934,-0.355583656381033,-0.00834500022720097,0.00109128755769988,0.0252966814630759,0.0269772156276334,8.91777912158034,16.1535127575795,0.157202539040479,0.152395381990307,0.9535,0.9585,1002752490,1e+09,0.00156988737807401,0.00152399094786837,8.40955057782483e-05,0.000102843019567381,0.00210565310533335,0.00199443601050522
1.2,"indep",100,100,-0.171245154473388,-0.176461543328009,-0.171224169065109,-0.00521638885462075,2.09854082791061e-05,0.0176996904667304,0.0183790432205294,5.97412235827557,10.0416404875253,0.131629341604333,0.129229365309418,0.9505,0.956,1000114961,1e+09,0.00131532516659576,0.0012923582555835,4.36564560841517e-05,4.78625447632941e-05,0.00216909543358516,0.00205095099892708
