"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","Var_MC_SAFEpt","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","delta_fail_prop","safe_fail_prop","delta_cap_rate","delta_cap_n","maxVar","boot_keep","boot_tried","boot_accept_prop","SAFE_ok_rate","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
1.4,"indep",5,5,-0.12423067964925,-0.0700208064547481,-0.285234984683806,0.0542098731945017,-0.161004305034556,1.6514500358373,0.368583120656703,0.789723810291386,109.117417294023,-53.3275917664549,0.62198672830286,0.861876671161274,0.889900699616339,0.842383209207854,0.1138,0,0.0337846987136087,2994,20,10207916629,13237466629,0.771138233250537,1,0.00208143048876326,0.00267752904599403,0.0135751168704819,0.000387270312832321,0.00105147071366104,0.00122402480332976
1.6,"indep",5,5,0.0384805205680643,0.0539448725868065,-0.112702061527417,0.0154643520187422,-0.151182582095481,1.214078773834,0.337089985820264,0.645299650098914,88.1418614821661,-47.7622549820702,0.587379651737176,0.803469730475297,0.902900998353892,0.866729375547812,0.06446,0,0.0221369476452103,2071,20,10216149417,12300094386,0.830574879866617,1,0.00191972698997773,0.00249542313405484,0.0110271918962592,0.000394040503639262,0.000968046609986949,0.00111116305695625
1.8,"indep",5,5,0.175328435806585,0.175993459326971,0.051411466033432,0.000665023520386387,-0.123916969773153,0.869559740908674,0.306126265904863,0.522868617630983,66.3055902739929,-41.4525455186311,0.554776609522573,0.732650808111376,0.908979828521725,0.888197407115934,0.03428,0,0.0141138218117053,1363,20,10222158127,11629136181,0.879012677115368,1,0.00178523118962238,0.00228347762305337,0.00879897552833705,0.000390924234754637,0.000925593582249083,0.00101403997406923
2,"indep",5,5,0.29389333245106,0.29373470371554,0.203478839593015,-0.000158628735519528,-0.0904144928580449,0.588568237294261,0.276967363763125,0.392614053097316,49.9101299739707,-29.4555654393569,0.510615140114022,0.637089190902447,0.916233297035446,0.911266931946551,0.01739,0,0.00755131740975565,742,20,10225304327,11144946931,0.917483447010233,1,0.00162894074660167,0.00199427138013936,0.00656311046996406,0.00037592314354273,0.000883788114010264,0.000907141351907808
2.5,"indep",5,5,0.53664724034191,0.558893049373459,0.507797640480555,0.0222458090315495,-0.028849599861355,0.243250585036997,0.212586539158569,0.204047235025289,19.2128798054279,4.18496439425955,0.425678347679168,0.454894635901639,0.921033646620308,0.942676499468948,0.00198,0,0.00132261878519469,132,20,10215110694,10497429603,0.973105901189438,1,0.00134561325794729,0.0014356144724432,0.00278334076057454,0.000310029530659047,0.000853668324562068,0.000735830981749145
3,"indep",5,5,0.729307511349758,0.765645423568245,0.717401992034077,0.0363379122184867,-0.0119055193156814,0.141329321006494,0.168092994163981,0.130636165923791,8.18544773347076,28.6726328618986,0.371584661134085,0.361952866817742,0.924148622293344,0.956513477021553,0.00015,0,8.001200180027e-05,8,20,10185283619,10264897621,0.992244052991125,1,0.00116951528755232,0.00114398184033601,0.000835777447906785,0.000230937489824621,0.000837307962914659,0.000644993686407273
4,"indep",5,5,1.02706186684777,1.07834596328728,1.01836802783582,0.0512840964395074,-0.00869383901195664,0.096107352561985,0.122126147219399,0.0964169408795844,-0.321093279640605,26.6646152691391,0.324812979998373,0.310630905653223,0.92724,0.96442,0,0,0,0,20,10094363265,10099260432,0.999515096473353,1,0.00101427038886201,0.0009819212844194,8.04896516189083e-05,0.000113835956772426,0.000821376785647123,0.000585782072105318
5,"indep",5,5,1.25479963118919,1.31025500368133,1.24343300484971,0.0554553724921472,-0.0113666263394805,0.0825135114638088,0.104950799095205,0.0859401667690097,-3.98725698823826,22.1207766297363,0.303696085010178,0.293374347143174,0.93103,0.96798,0,0,0,0,20,10026758833,10027014867,0.999974465580894,1,0.000944229343334125,0.000927039194257771,4.00226650641936e-05,6.79033070986363e-05,0.000801331012129195,0.000556729014871688
0.2,"indep",10,10,NA,-1.13484381753421,-1.28699055476948,NA,NA,5.86661414914711,0.448014557192308,1.4301630944357,310.205952871542,-68.6738834937507,NA,NA,NA,NA,0.62195,0,0.168972358153683,6388,20,10146565732,21761784487,0.466256144483984,1,NA,NA,0.0377553445767659,0.000170194874525389,NA,NA
0.3,"indep",10,10,NA,-1.06399980724848,-1.26051531856526,NA,NA,5.26992942494247,0.440860425720087,1.40456642043352,275.199730555704,-68.6123476037528,NA,NA,NA,NA,0.57217,0,0.148961035925484,6373,20,10152127094,20986473076,0.483746223447613,1,NA,NA,0.0343243368641643,0.000194459773600419,NA,NA
