"design","n1","n2","r","theta","lnM_true","delta_var_cap","delta_var_capped_rate","delta_var_capped_n","bias_PI","bias_BC","Var_MC_PI","Var_MC_BC","Var_delta_bar","Var_SAFE_bar","rb_delta_PI","rb_delta_BC","rb_SAFE_PI","rb_SAFE_BC","cover_PI","cover_BC","rmse_PI","rmse_BC","PI_valid_rate","SAFE_kept_rate","SAFE_status_ok","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","facet_label"
"indep",12,28,NA,0.5,-1.03972077083992,20,0,0,NA,0.0352328336684076,NA,0.125195478147826,NA,0.37508781384799,NA,NA,NA,199.601726353967,NA,0.97,NA,0.35469825672731,0,0.451393928871867,1,NA,-1.00448793717151,NA,0.0352328336684076,NA,0.37508781384799,NA,199.601726353967,NA,0.35469825672731,NA,0.97,"indep n1=12 n2=28"
"indep",40,160,NA,0.5,-1.03972077083992,20,0,0,NA,-0.142034389867979,NA,0.149078388573404,NA,0.229112948485415,NA,NA,NA,53.6862255340275,NA,0.945,NA,0.410495754589138,0,0.542757969139073,1,NA,-1.1817551607079,NA,-0.142034389867979,NA,0.229112948485415,NA,53.6862255340275,NA,0.410495754589138,NA,0.945,"indep n1=40 n2=160"
"indep",5,5,NA,0.6,-0.857399214045963,20,0,0,NA,0.448267958909013,NA,0.135977650144337,NA,0.469729840076729,NA,NA,NA,245.446357969948,NA,0.925,NA,0.57986371233081,0,0.436155797899707,1,NA,-0.40913125513695,NA,0.448267958909013,NA,0.469729840076729,NA,245.446357969948,NA,0.57986371233081,NA,0.925,"indep n1=5 n2=5"
"indep",10,10,NA,0.6,-0.857399214045963,20,0,0,NA,0.1104156189254,NA,0.134871332222865,NA,0.407888637798369,NA,NA,NA,202.427974185325,NA,0.96,NA,0.382607611613294,0,0.456613143902888,1,NA,-0.746983595120564,NA,0.1104156189254,NA,0.407888637798369,NA,202.427974185325,NA,0.382607611613294,NA,0.96,"indep n1=10 n2=10"
"indep",20,20,NA,0.6,-0.857399214045963,20,0,0,NA,-0.0906983720183098,NA,0.145653392387043,NA,0.340809396028738,NA,NA,NA,133.986583108967,NA,0.975,NA,0.391345525222762,0,0.472211868148505,1,NA,-0.948097586064273,NA,-0.0906983720183098,NA,0.340809396028738,NA,133.986583108967,NA,0.391345525222762,NA,0.975,"indep n1=20 n2=20"
"indep",100,100,NA,0.6,-0.857399214045963,20,0,0,NA,-0.104837912701812,NA,0.10450641816022,NA,0.109609268084188,NA,NA,NA,4.88281008363064,NA,0.95,NA,0.339079450880014,0,0.7125,1,NA,-0.962237126747776,NA,-0.104837912701812,NA,0.109609268084188,NA,4.88281008363064,NA,0.339079450880014,NA,0.95,"indep n1=100 n2=100"
"indep",3,7,NA,0.6,-0.857399214045963,20,0,0,NA,0.490773996984818,NA,0.128915973871974,NA,0.473644264018944,NA,NA,NA,267.405411286982,NA,0.925,NA,0.607561116365316,0,0.427851179190335,1,NA,-0.366625217061145,NA,0.490773996984818,NA,0.473644264018944,NA,267.405411286982,NA,0.607561116365316,NA,0.925,"indep n1=3 n2=7"
"indep",6,14,NA,0.6,-0.857399214045963,20,0,0,NA,0.146519447328698,NA,0.119428888631952,NA,0.413944420148582,NA,NA,NA,246.603258968816,NA,0.95,NA,0.374566005711008,0,0.448650540057077,1,NA,-0.710879766717265,NA,0.146519447328698,NA,0.413944420148582,NA,246.603258968816,NA,0.374566005711008,NA,0.95,"indep n1=6 n2=14"
"indep",12,28,NA,0.6,-0.857399214045963,20,0,0,NA,-0.0900996433635936,NA,0.129587557506147,NA,0.363428500600153,NA,NA,NA,180.450150920479,NA,0.98,NA,0.370212865055853,0,0.465837939587041,1,NA,-0.947498857409557,NA,-0.0900996433635936,NA,0.363428500600153,NA,180.450150920479,NA,0.370212865055853,NA,0.98,"indep n1=12 n2=28"
"indep",40,160,NA,0.6,-0.857399214045963,20,0,0,NA,-0.113253040523043,NA,0.126275581924288,NA,0.16692778339724,NA,NA,NA,32.1932402555278,NA,0.95,NA,0.372116185085224,0,0.591657550140892,1,NA,-0.970652254569006,NA,-0.113253040523043,NA,0.16692778339724,NA,32.1932402555278,NA,0.372116185085224,NA,0.95,"indep n1=40 n2=160"
