"theta","design","n1","n2","rho","true_lnM","delta_bias","rmse_delta","safe_bias_mean","rmse_mean","safe_bias_med","rmse_med","safe_bias_mode","rmse_mode","relbias_delta","relbias_safe","cover_delta","cover_safe","boot_keep","boot_total"
0.9,"indep",3,7,0,-0.895165958618435,0.543161846041293,0.85126766646017,0.777180162606433,0.845989494022159,0.8429393210314,0.899069026796513,0.944109262684192,0.985364099018695,321.16031611091,174.14509272495,0.78,0.826153846153846,7433676,6500000
1,"indep",3,7,0,-0.669887172742499,0.365191612000129,0.782574393443731,0.584915302966258,0.680567979837847,0.648251892028107,0.72520049799782,0.743623181658435,0.798451952221316,229.973767795663,145.718639710196,0.800565770862801,0.85997171145686,8100467,7070000
1.5,"indep",3,7,0,-0.0600088367288999,0.068620065756371,0.641640629264446,0.168248271629071,0.443138478316116,0.21804165778248,0.436277875192736,0.289188193496022,0.440384055707493,37.0260181726741,58.8622145150869,0.86734693877551,0.904761904761905,10250672,8820000
2,"indep",3,7,0,0.283197737460401,0.0317627832612221,0.524588493818995,0.0427555211406919,0.430242624012068,0.0757735095324828,0.399693265330922,0.124157621389508,0.365907925527534,-4.11034392142582,28.7452843306127,0.905699481865285,0.918134715025907,11338285,9650000
3,"indep",3,7,0,0.724858093778693,0.0192079419070375,0.382010974200113,-0.00963026133992395,0.389330873050754,-0.00707355398094212,0.359404045242275,-0.00395713889593008,0.322526495087057,-7.88328489801553,6.64381463100865,0.926926926926927,0.937937937937938,11966100,9990000
4,"indep",3,7,0,1.02461388154167,0.0445242647636401,0.345484161764479,0.0287418050178736,0.356625728199544,0.0086854333345554,0.337306549073945,-0.020107386883754,0.314933154536897,-17.5103383052122,-11.7491144349148,0.923,0.932,12066215,1e+07
5,"indep",3,7,0,1.25324864119018,0.0464055390149007,0.308192652332583,0.0380308713188029,0.317495173003388,0.00743134590762051,0.304093567419255,-0.0349600288618936,0.291486444060114,-9.22490510854455,-3.43900468999294,0.931,0.943,12093709,1e+07
0.2,"indep",6,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1407.19551905589,533.637010677206,NA,NA,4401422,3760000
0.3,"indep",6,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,845.364551440548,433.119546136368,NA,NA,4642792,3940000
0.4,"indep",6,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,648.22779128074,329.40356669339,NA,NA,5600072,4700000
0.5,"indep",6,14,0,-2.56198198970163,1.68237173793311,1.82574100800221,2.02323633858897,2.04313743137906,2.11144338565479,2.1285164003756,2.25006915365692,2.26303786444365,572.306980520441,260.304153504768,0.531372549019608,0,6075177,5100000
0.6,"indep",6,14,0,-1.39883117989595,0.645880510921667,0.963806392839459,0.920167309873612,0.974277810477542,1.00522769183984,1.04956560874221,1.13103989209703,1.16301136770102,305.677601520677,172.515630674565,0.735340729001585,0.746434231378764,7638694,6310000
0.7,"indep",6,14,0,-1.03592568620658,0.39126366093291,0.722538975194096,0.591692242085571,0.666343790453439,0.675760876487636,0.73463017305101,0.800684270513936,0.840708042155512,258.648747377752,160.854585383579,0.808035714285714,0.869047619047619,8233205,6720000
0.8,"indep",6,14,0,-0.802343654837751,0.188722992341278,0.721695317721166,0.395250086459787,0.51564607031096,0.475826383749561,0.567456876260253,0.594055382681059,0.653112715084662,139.867582665685,121.426104945132,0.845839017735334,0.892223738062756,9060433,7330000
0.9,"indep",6,14,0,-0.625964991095738,0.100630830785327,0.59902894948947,0.249125753481904,0.408222718449256,0.329038136468959,0.446441574714116,0.444318067341515,0.51798258800535,124.602118472665,133.216347075133,0.897058823529412,0.92156862745098,10135391,8160000
1,"indep",6,14,0,-0.482540448021794,0.0239758379463001,0.620029479688568,0.160281776870445,0.383783936536433,0.235298319056446,0.401176821714839,0.346759474517082,0.449985242754379,85.4811166951548,99.3970098981932,0.907276995305164,0.935446009389671,10785488,8520000
1.5,"indep",6,14,0,0.00296736775990736,-0.0454484330054558,0.479081766767297,-0.0307106756447487,0.378897097536057,0.0223216420991829,0.346493707229309,0.0974059009699689,0.314708859049455,-4.24216829800181,45.7908450524685,0.930753564154786,0.946028513238289,13111481,9820000
2,"indep",6,14,0,0.315889117091827,-0.00311343994931884,0.35696163961235,-0.0178744672501657,0.349596479907511,0.0082005887707084,0.320577902129325,0.0442476854715774,0.287284460224559,-16.0587977376023,9.15198576245573,0.918837675350701,0.93186372745491,13839055,9980000
3,"indep",6,14,0,0.738633069662809,0.0222424702919991,0.248066979090315,0.0235825902352473,0.258329459623216,0.0179076083599398,0.246027234015289,0.0111950324605202,0.231161131129307,-7.09886411657844,1.99570622855099,0.942,0.95,14066557,1e+07
